nohup: 忽略输入
Experiment dir : exp/joint_cl_exp/IMDB-BINARY-joint_cl_exp-20250122-113619
01/22 11:36:19 AM Namespace(add_mask=False, aug_ratio=0.2, batch_size=16, data_root='../data', dataset='IMDB-BINARY', dropout=0, edge_norm=True, epoch_select='test_max', epochs=300, exp='joint_cl_exp', global_pool='sum', gpu=5, hidden=128, lr=0.001, lr_decay_factor=1.0, lr_decay_step_size=20, n_fold=10, n_layers_conv=3, n_layers_fc=2, n_layers_feat=1, res_branch='BNConvReLU', save='exp/joint_cl_exp/IMDB-BINARY-joint_cl_exp-20250122-113619', seed=0, semi_split=10, skip_connection=False, with_eval_mode=True)
01/22 11:36:19 AM -----
Total 1 experiments in this run:
01/22 11:36:19 AM 1/1 - IMDB-BINARY - deg+odeg100 - ResGCN
01/22 11:36:19 AM -----
1/1 - IMDB-BINARY - deg+odeg100 - ResGCN
01/22 11:36:19 AM **********
01/22 11:36:19 AM Fold: 0
01/22 11:36:19 AM Train size: 900
01/22 11:36:19 AM Semi size: 100
01/22 11:36:19 AM Test size: 100
01/22 11:36:21 AM **************************************************
01/22 11:36:45 AM Epoch: 048, Model Loss: 118.0836, Train Acc: 0.9300, Test Acc: 0.6500
01/22 11:36:46 AM Epoch: 049, Model Loss: 117.1705, Train Acc: 0.9300, Test Acc: 0.6600
01/22 11:36:46 AM Epoch: 050, Model Loss: 116.3160, Train Acc: 0.9400, Test Acc: 0.6100
01/22 11:36:47 AM Epoch: 051, Model Loss: 115.4256, Train Acc: 0.9400, Test Acc: 0.6600
01/22 11:36:47 AM Epoch: 052, Model Loss: 114.5621, Train Acc: 0.8700, Test Acc: 0.5900
01/22 11:36:47 AM Epoch: 053, Model Loss: 113.6974, Train Acc: 0.9300, Test Acc: 0.5900
01/22 11:36:48 AM Epoch: 054, Model Loss: 112.8147, Train Acc: 0.9300, Test Acc: 0.6100
01/22 11:36:48 AM Epoch: 055, Model Loss: 111.9923, Train Acc: 0.9400, Test Acc: 0.6000
01/22 11:36:49 AM Epoch: 056, Model Loss: 111.0763, Train Acc: 0.9400, Test Acc: 0.6400
01/22 11:36:49 AM Epoch: 057, Model Loss: 110.1994, Train Acc: 0.9200, Test Acc: 0.6200
01/22 11:36:50 AM Epoch: 058, Model Loss: 109.4046, Train Acc: 0.9200, Test Acc: 0.6200
01/22 11:36:50 AM Epoch: 059, Model Loss: 108.5620, Train Acc: 0.8800, Test Acc: 0.5700
01/22 11:36:51 AM Epoch: 060, Model Loss: 107.8810, Train Acc: 0.8500, Test Acc: 0.5700
01/22 11:36:51 AM Epoch: 061, Model Loss: 107.1887, Train Acc: 0.9100, Test Acc: 0.6100
01/22 11:36:52 AM Epoch: 062, Model Loss: 106.4412, Train Acc: 0.9100, Test Acc: 0.6500
01/22 11:36:52 AM Epoch: 063, Model Loss: 105.6789, Train Acc: 0.9200, Test Acc: 0.6400
01/22 11:36:52 AM Epoch: 064, Model Loss: 105.1070, Train Acc: 0.9300, Test Acc: 0.7100
01/22 11:36:53 AM Epoch: 065, Model Loss: 104.1239, Train Acc: 0.9100, Test Acc: 0.6800
01/22 11:36:53 AM Epoch: 066, Model Loss: 103.3487, Train Acc: 0.9200, Test Acc: 0.7100
01/22 11:36:54 AM Epoch: 067, Model Loss: 102.5783, Train Acc: 0.9400, Test Acc: 0.7000
01/22 11:36:54 AM Epoch: 068, Model Loss: 101.7999, Train Acc: 0.9400, Test Acc: 0.6500
01/22 11:36:55 AM Epoch: 069, Model Loss: 101.0279, Train Acc: 0.9200, Test Acc: 0.6700
01/22 11:36:55 AM Epoch: 070, Model Loss: 100.8054, Train Acc: 0.9300, Test Acc: 0.6400
01/22 11:36:56 AM Epoch: 071, Model Loss: 99.6679, Train Acc: 0.9200, Test Acc: 0.6500
01/22 11:36:56 AM Epoch: 072, Model Loss: 98.9786, Train Acc: 0.9100, Test Acc: 0.6500
01/22 11:36:57 AM Epoch: 073, Model Loss: 98.3692, Train Acc: 0.9100, Test Acc: 0.6700
01/22 11:36:57 AM Epoch: 074, Model Loss: 97.7025, Train Acc: 0.9200, Test Acc: 0.6800
01/22 11:36:57 AM Epoch: 075, Model Loss: 97.0095, Train Acc: 0.9300, Test Acc: 0.6500
01/22 11:36:58 AM Epoch: 076, Model Loss: 96.3090, Train Acc: 0.9300, Test Acc: 0.6800
01/22 11:36:58 AM Epoch: 077, Model Loss: 95.6600, Train Acc: 0.9100, Test Acc: 0.7100
01/22 11:36:59 AM Epoch: 078, Model Loss: 94.9694, Train Acc: 0.9200, Test Acc: 0.6900
01/22 11:36:59 AM Epoch: 079, Model Loss: 94.3063, Train Acc: 0.9100, Test Acc: 0.6800
01/22 11:37:00 AM Epoch: 080, Model Loss: 93.6203, Train Acc: 0.9200, Test Acc: 0.6800
01/22 11:37:00 AM Epoch: 081, Model Loss: 92.9571, Train Acc: 0.9100, Test Acc: 0.6900
01/22 11:37:01 AM Epoch: 082, Model Loss: 92.6110, Train Acc: 0.9100, Test Acc: 0.6600
01/22 11:37:01 AM Epoch: 083, Model Loss: 91.6479, Train Acc: 0.9200, Test Acc: 0.7000
01/22 11:37:02 AM Epoch: 084, Model Loss: 91.0786, Train Acc: 0.9200, Test Acc: 0.7100
01/22 11:37:02 AM Epoch: 085, Model Loss: 90.5006, Train Acc: 0.9100, Test Acc: 0.6700
01/22 11:37:02 AM Epoch: 086, Model Loss: 89.8967, Train Acc: 0.9000, Test Acc: 0.6600
01/22 11:37:03 AM Epoch: 087, Model Loss: 89.4974, Train Acc: 0.9200, Test Acc: 0.6800
01/22 11:37:03 AM Epoch: 088, Model Loss: 88.6490, Train Acc: 0.9200, Test Acc: 0.6900
01/22 11:37:04 AM Epoch: 089, Model Loss: 88.0958, Train Acc: 0.9100, Test Acc: 0.7000
01/22 11:37:04 AM Epoch: 090, Model Loss: 87.5359, Train Acc: 0.8300, Test Acc: 0.6800
01/22 11:37:05 AM Epoch: 091, Model Loss: 87.1659, Train Acc: 0.8600, Test Acc: 0.7300
01/22 11:37:05 AM Epoch: 092, Model Loss: 86.3968, Train Acc: 0.9000, Test Acc: 0.6300
01/22 11:37:05 AM Epoch: 093, Model Loss: 85.8316, Train Acc: 0.8900, Test Acc: 0.6300
01/22 11:37:06 AM Epoch: 094, Model Loss: 85.2406, Train Acc: 0.8100, Test Acc: 0.6000
01/22 11:37:06 AM Epoch: 095, Model Loss: 84.6587, Train Acc: 0.9000, Test Acc: 0.6700
01/22 11:37:07 AM Epoch: 096, Model Loss: 84.3774, Train Acc: 0.7800, Test Acc: 0.5900
01/22 11:37:07 AM Epoch: 097, Model Loss: 83.4639, Train Acc: 0.8300, Test Acc: 0.6600
01/22 11:37:08 AM Epoch: 098, Model Loss: 82.8879, Train Acc: 0.8400, Test Acc: 0.6900
01/22 11:37:08 AM Epoch: 099, Model Loss: 82.3147, Train Acc: 0.8800, Test Acc: 0.7100
01/22 11:37:09 AM Epoch: 100, Model Loss: 81.7209, Train Acc: 0.9000, Test Acc: 0.6900
01/22 11:37:09 AM Epoch: 101, Model Loss: 81.1449, Train Acc: 0.9200, Test Acc: 0.7000
01/22 11:37:10 AM Epoch: 102, Model Loss: 80.5734, Train Acc: 0.9300, Test Acc: 0.6700
01/22 11:37:10 AM Epoch: 103, Model Loss: 80.0390, Train Acc: 0.9100, Test Acc: 0.6500
01/22 11:37:10 AM Epoch: 104, Model Loss: 79.6887, Train Acc: 0.9300, Test Acc: 0.6600
01/22 11:37:11 AM Epoch: 105, Model Loss: 79.0833, Train Acc: 0.8800, Test Acc: 0.6700
01/22 11:37:11 AM Epoch: 106, Model Loss: 78.6548, Train Acc: 0.9000, Test Acc: 0.6900
01/22 11:37:12 AM Epoch: 107, Model Loss: 78.2110, Train Acc: 0.8600, Test Acc: 0.6500
01/22 11:37:12 AM Epoch: 108, Model Loss: 77.7341, Train Acc: 0.9000, Test Acc: 0.6600
01/22 11:37:13 AM Epoch: 109, Model Loss: 77.2360, Train Acc: 0.9100, Test Acc: 0.7500
01/22 11:37:13 AM Epoch: 110, Model Loss: 76.7254, Train Acc: 0.8500, Test Acc: 0.6700
01/22 11:37:14 AM Epoch: 111, Model Loss: 76.2089, Train Acc: 0.8900, Test Acc: 0.6900
01/22 11:37:14 AM Epoch: 112, Model Loss: 75.6916, Train Acc: 0.8900, Test Acc: 0.6700
01/22 11:37:14 AM Epoch: 113, Model Loss: 75.1588, Train Acc: 0.9200, Test Acc: 0.7200
01/22 11:37:15 AM Epoch: 114, Model Loss: 74.7922, Train Acc: 0.8700, Test Acc: 0.6900
01/22 11:37:15 AM Epoch: 115, Model Loss: 74.2609, Train Acc: 0.8600, Test Acc: 0.7000
01/22 11:37:16 AM Epoch: 116, Model Loss: 74.1520, Train Acc: 0.8300, Test Acc: 0.6700
01/22 11:37:16 AM Epoch: 117, Model Loss: 73.9620, Train Acc: 0.8600, Test Acc: 0.6700
01/22 11:37:17 AM Epoch: 118, Model Loss: 73.6634, Train Acc: 0.9000, Test Acc: 0.6500
01/22 11:37:17 AM Epoch: 119, Model Loss: 73.2954, Train Acc: 0.8400, Test Acc: 0.6600
01/22 11:37:18 AM Epoch: 120, Model Loss: 72.8840, Train Acc: 0.9100, Test Acc: 0.6500
01/22 11:37:18 AM Epoch: 121, Model Loss: 72.4534, Train Acc: 0.9200, Test Acc: 0.6700
01/22 11:37:18 AM Epoch: 122, Model Loss: 72.3811, Train Acc: 0.9200, Test Acc: 0.6600
01/22 11:37:19 AM Epoch: 123, Model Loss: 71.5677, Train Acc: 0.8800, Test Acc: 0.6700
01/22 11:37:19 AM Epoch: 124, Model Loss: 71.1599, Train Acc: 0.8300, Test Acc: 0.6000
01/22 11:37:20 AM Epoch: 125, Model Loss: 71.1800, Train Acc: 0.8500, Test Acc: 0.6700
